"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"8sfgks","37969","1","Luigi","Luigi's Toy Adventure","4","Tue, 14 Jun 2022 19:00:02 GMT","1655233202211","190","","","","No","No","meme","","61","0","4","385849280939950080","385849280939950080","386931476291256332","104","F","S","S","S","A","F","D","",""
"8sgz00","21155","1","Rayne","Drugstore in Another World: The Slow Life of a Cheat Pharmacist","3","Tue, 14 Jun 2022 18:01:38 GMT","1655229698160","5","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","B","F","D","",""
"8s4zr4","38016","1","Yuga Mikaido","Future Card Buddyfight Ace","2","Tue, 14 Jun 2022 15:27:04 GMT","1655220424536","5","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"8s1v5w","18599","2","Ouchuu","Reikenzan: Hoshikuzu-tachi no Utage","1","Tue, 14 Jun 2022 13:57:54 GMT","1655215074278","8","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","A","F","D","",""
"8s2th9","37902","1","Koichi Kaga","X-Men","0","Tue, 14 Jun 2022 08:41:48 GMT","1655196108787","1","","","","No","No","burn","","0","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"8s2mzb","1848","4","Natsume Hyuuga","Gakuen Alice","4","Tue, 14 Jun 2022 07:58:38 GMT","1655193518083","243","","","","No","No","burn","","25","0","4","385849280939950080","385849280939950080","386931476291256332","133","F","S","S","S","A","F","D","",""
"8d8l4p","20550","2","Cryska Barchenowa","Muv-Luv Alternative: Total Eclipse","2","Mon, 13 Jun 2022 21:47:31 GMT","1655156851302","23","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","14","F","S","S","S","A","F","D","",""
"8dgv83","38235","1","Senna","Bleach Movie 1: Memories of Nobody","1","Mon, 13 Jun 2022 19:46:21 GMT","1655149581247","4","","","","No","No","burn","","3","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","F","F","D","",""
"8dgj1w","20697","2","Leonora Nakiri","Food Wars! The Second Plate","1","Mon, 13 Jun 2022 19:14:12 GMT","1655147652650","19","","","","No","No","","","1","0","1","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","A","F","D","",""
"8dnj2g","1429","4","Tsukune Aono","Rosario + Vampire","1","Mon, 13 Jun 2022 15:03:03 GMT","1655132583671","25","","","","No","No","burn","","14","0","1","385849280939950080","385849280939950080","386931476291256332","14","F","S","S","S","S","F","D","",""
"8db27r","35910","1","Cruel Priestess","Shadowverse","1","Mon, 13 Jun 2022 13:43:46 GMT","1655127826084","3","","","","No","No","burn","","1","0","1","","385849280939950080","386931476291256332","1","F","S","S","F","C","F","D","",""
"8d2l7t","8656","3","Yuri Orloff","Solo Leveling","3","Mon, 13 Jun 2022 11:02:32 GMT","1655118152961","82","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","45","F","S","S","S","S","F","D","",""
"87lp8d","37418","1","Kaoruko Jinno","Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne! Specials","4","Sun, 12 Jun 2022 23:50:40 GMT","1655077840399","20","","","","No","No","burn","","0","0","4","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","A","F","D","",""
"87l94p","38075","1","Jun Kanzato","Persona -trinity soul-","3","Sun, 12 Jun 2022 22:58:39 GMT","1655074719063","15","","","","No","No","burn","","1","0","3","414864608696860685","385849280939950080","386931476291256332","6","F","S","S","F","C","F","D","",""
"87f21p","5269","3","Jinrai","Frame Arms Girl","4","Sun, 12 Jun 2022 21:54:25 GMT","1655070865865","100","","","","No","No","burn","","1","0","4","385849280939950080","385849280939950080","386931476291256332","56","F","S","S","S","A","F","D","",""
"87471d","38085","1","Janie","A Certain Scientific Railgun S","0","Sun, 12 Jun 2022 19:10:43 GMT","1655061043336","2","","","","No","No","nice","","1","0","0","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"874p29","37651","1","Priscilla Twilight","Day Break Illusion: il sole penetra le illusioni","1","Sun, 12 Jun 2022 18:00:17 GMT","1655056817215","2","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"87n49j","11642","1","Atla","Kuma Kuma Kuma Bear","2","Sun, 12 Jun 2022 16:15:08 GMT","1655050508391","15","","","","No","No","kawaii","","1","0","2","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","B","F","D","",""
"87kc60","1847","4","Balalaika","Black Lagoon","0","Sun, 12 Jun 2022 14:24:22 GMT","1655043862536","17","","","","No","No","ft","","74","0","0","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","A","F","D","",""
"87w8nc","38104","1","Palme's Father","A Tree of Palme","2","Sun, 12 Jun 2022 12:54:55 GMT","1655038495999","1","","","","No","No","","","0","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
