"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"f01sj5","33555","1","Pseudomonas","Cells at Work!","4","Tue, 05 Apr 2022 15:35:20 GMT","1649172920835","35","","","","No","No","","","1","0","4","385849280939950080","385849280939950080","386931476291256332","20","F","S","S","S","A","F","D","",""
"f0b2v5","5823","3","Karen Kujou","Kiniro Mosaic","3","Tue, 05 Apr 2022 14:47:38 GMT","1649170058722","95","","","","No","No","meme","","27","0","3","385849280939950080","385849280939950080","386931476291256332","45","F","S","S","S","F","F","D","",""
"f0bhlv","11102","1","Dejigame","Kasumin","2","Tue, 05 Apr 2022 13:18:13 GMT","1649164693469","4","","","","No","No","burn","","0","0","2","236184987299217408","385849280939950080","386931476291256332","1","F","S","S","F","D","F","D","",""
"f02f90","33664","1","Nanami Madobe","Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!","2","Tue, 05 Apr 2022 13:02:45 GMT","1649163765369","11","","","","No","No","meme","","2","0","2","385849280939950080","385849280939950080","386931476291256332","6","F","S","S","S","A","F","D","",""
"f02fzp","33737","1","Mitaka","The Helpful Fox Senko-san","0","Tue, 05 Apr 2022 12:06:17 GMT","1649160377261","1","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","B","F","D","",""
"f00mdf","42","4","Ryoga Kamishiro","Yu-Gi-Oh! Zexal","3","Tue, 05 Apr 2022 10:46:56 GMT","1649155616592","153","","","","No","No","burn","","3","0","3","385849280939950080","385849280939950080","386931476291256332","101","F","S","S","S","S","F","A","",""
"f00m9p","12673","2","Yotsuba Nakano","The Quintessential Quintuplets","1","Tue, 05 Apr 2022 09:40:03 GMT","1649151603628","45","","","","No","No","fav","","1292","0","1","385849280939950080","385849280939950080","386931476291256332","24","F","S","S","S","S","F","D","",""
"f00m3j","15885","1","Saigou Takamori","Rurouni Kenshin","2","Tue, 05 Apr 2022 09:09:22 GMT","1649149762147","1","","","","No","No","","","1","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"f00mpw","17088","2","Suguru Daisho","Haikyuu!! To the Top","1","Tue, 05 Apr 2022 08:39:19 GMT","1649147959700","23","","","","No","No","burn","","9","0","1","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","F","F","D","",""
"fv61bk","18063","2","Sumire Hara","Assassination Classroom","1","Tue, 05 Apr 2022 07:20:23 GMT","1649143223704","14","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","A","F","D","",""
"fv610x","33132","1","Shouta Hacchouya","Mahou Tsukai Nara Miso wo Kue!","1","Tue, 05 Apr 2022 06:06:53 GMT","1649138813298","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","D","F","D","",""
"fvgmgr","6394","3","Bulma","Dragon Ball Z","3","Tue, 05 Apr 2022 00:03:40 GMT","1649117020793","155","","","","No","No","nice","","94","0","3","385849280939950080","385849280939950080","386931476291256332","84","F","S","S","S","A","F","D","",""
"fv4l51","5923","2","Sangonomiya Kokomi","Genshin Impact","3","Mon, 04 Apr 2022 23:01:39 GMT","1649113299047","189","","","","No","No","ft","","1287","0","3","385849280939950080","385849280939950080","386931476291256332","103","F","S","S","S","S","F","D","",""
"fv4fxt","154","4","Chitose Ikeda","Yuru Yuri","3","Mon, 04 Apr 2022 21:29:15 GMT","1649107755805","168","","","","No","No","nice","","7","0","3","385849280939950080","385849280939950080","386931476291256332","103","F","S","S","S","A","F","C","",""
"fvn0j3","33581","1","Kurai","Angel Sanctuary","4","Mon, 04 Apr 2022 20:52:46 GMT","1649105566632","7","","","","No","No","burn","","0","0","4","236182912716767232","385849280939950080","386931476291256332","4","F","S","S","F","D","F","D","",""
"fvn0bk","33527","1","Lua","Yu-Gi-Oh! 5D's","2","Mon, 04 Apr 2022 20:41:15 GMT","1649104875123","6","","","","No","No","","","1","0","2","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","F","F","D","",""
"fvn029","3110","3","Ryuuou","Tsubasa Reservoir Chronicle 2nd Season","0","Mon, 04 Apr 2022 20:10:54 GMT","1649103054444","6","","","","No","No","","","1","0","0","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","B","F","D","",""
"fvn00m","33410","1","Kanako Kurahashi","Night Head Genesis","2","Mon, 04 Apr 2022 19:37:03 GMT","1649101023925","1","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"fvkp4j","33471","1","Monlyon","Blade of the Phantom Master","1","Mon, 04 Apr 2022 17:53:37 GMT","1649094817159","1","","","","No","No","burn","","0","0","1","236182912716767232","385849280939950080","386931476291256332","0","F","S","S","F","A","F","D","",""
"fvkpzw","32971","1","Masamune Kido","World Trigger","1","Mon, 04 Apr 2022 17:43:03 GMT","1649094183952","2","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","D","F","D","",""
"fvql6j","33348","1","Serge","Fate/Apocrypha","2","Mon, 04 Apr 2022 17:00:59 GMT","1649091659773","4","","","","No","No","burn","","1","0","2","529423986472517633","385849280939950080","386931476291256332","1","F","S","S","F","F","F","D","",""
"fvqlxv","33370","1","Aoi Yusa","Haganai: I Don't Have Many Friends NEXT","1","Mon, 04 Apr 2022 16:50:49 GMT","1649091049178","3","","","","No","No","burn","","1","0","1","414864608696860685","385849280939950080","386931476291256332","1","F","S","S","F","F","F","D","",""
"fvqld4","33443","1","Sergei Storelka","Tales of Zestiria: The X","1","Mon, 04 Apr 2022 16:40:45 GMT","1649090445328","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","C","F","D","",""
"fvqlf6","28898","1","Prince","Game of Dice","0","Mon, 04 Apr 2022 15:56:42 GMT","1649087802064","1","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"fvm2ks","13785","2","Haruka","Masamune-kun's Revenge","4","Mon, 04 Apr 2022 15:03:24 GMT","1649084604278","130","","","","No","No","burn","","1","0","4","385849280939950080","385849280939950080","386931476291256332","70","F","S","S","S","A","F","D","",""
"fmsrwh","33201","1","Nene Hampden","Tristia of the Deep Blue Sea","0","Mon, 04 Apr 2022 12:11:08 GMT","1649074268854","1","","","","No","No","","","0","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"fmsrmd","33092","1","Azuma Hiroshi","Calamity of a Zombie Girl","2","Mon, 04 Apr 2022 11:23:27 GMT","1649071407841","1","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","C","F","D","",""
"fm8xxk","7450","3","Kale","Dragon Ball Super","1","Mon, 04 Apr 2022 10:51:33 GMT","1649069493509","28","","","","No","No","burn","","10","0","1","385849280939950080","385849280939950080","386931476291256332","15","F","S","S","S","S","F","D","",""
"fm8x7n","33449","1","Shinichi Bando","Kuuchuu Buranko","2","Mon, 04 Apr 2022 10:19:08 GMT","1649067548179","1","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","B","F","D","",""
"fmgdtp","33278","1","Kanako Sasa","Hourou Musuko Specials","3","Mon, 04 Apr 2022 08:37:13 GMT","1649061433323","3","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"fmgdgf","33370","1","Deer","Stand My Heroes: Piece of Truth","0","Mon, 04 Apr 2022 07:28:36 GMT","1649057316089","1","","","","No","No","piwnica","","1","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"fmkt0x","33457","1","Ochazuke","Scared Rider Xechs","2","Sun, 03 Apr 2022 23:49:22 GMT","1649029762189","5","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","B","F","D","",""
"fmk8x1","6339","3","Nobuo Terashima","Nana","2","Sun, 03 Apr 2022 23:02:35 GMT","1649026955698","34","","","","No","No","watchlist","","20","0","2","385849280939950080","385849280939950080","386931476291256332","20","F","S","S","S","A","F","D","",""
"fmhqkx","32981","1","Cordelia Glauca","Tantei Opera Milky Holmes 2","4","Sun, 03 Apr 2022 21:34:08 GMT","1649021648759","26","","","","No","No","burn","","1","0","4","385849280939950080","385849280939950080","386931476291256332","14","F","S","S","S","F","F","D","",""
"fmmdj9","12084","2","Amon Hajiki","Fire Force Season 2","1","Sun, 03 Apr 2022 21:00:35 GMT","1649019635647","16","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","A","F","D","",""
"fmm76t","33334","1","Larcade","Fairy Tail: Final Season","2","Sun, 03 Apr 2022 19:28:28 GMT","1649014108631","19","","","","No","No","burn","","5","0","2","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","B","F","D","",""
"9cxpk6","33158","1","Rudolph","Izetta: The Last Witch","3","Sun, 03 Apr 2022 18:58:12 GMT","1649012292390","2","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"9cxpvm","33661","1","Mio Minato","Aikatsu Friends!","2","Sun, 03 Apr 2022 18:00:20 GMT","1649008820521","8","","","","No","No","burn","","2","0","2","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","A","F","D","",""
"9ctxgp","6562","3","Chizuru Maki","DREAM!ing","4","Sun, 03 Apr 2022 16:50:35 GMT","1649004635185","126","","","","No","No","","","1","0","4","385849280939950080","385849280939950080","386931476291256332","70","F","S","S","S","A","F","D","",""
"9ctx16","33322","1","Honoka","Kaichou wa Maid-sama!","2","Sun, 03 Apr 2022 16:02:26 GMT","1649001746751","14","","","","No","No","piwnica","","1","0","2","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","A","F","D","",""
"9cf9m6","33018","1","Yanagishita","Stars Align","1","Sun, 03 Apr 2022 15:22:58 GMT","1648999378804","1","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","C","F","D","",""
"9cfgft","6654","3","Li Shuwen","Fate/EXTRA","3","Sun, 03 Apr 2022 14:00:47 GMT","1648994447987","73","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","39","F","S","S","S","A","F","D","",""
"9c3vzw","682","2","Kaede Honjou","BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","4","Sun, 03 Apr 2022 13:15:30 GMT","1648991730049","228","","","","No","No","","","13","0","4","385849280939950080","385849280939950080","386931476291256332","129","F","S","S","S","A","F","D","",""
